Category,Metric,Average,Min,Max,Median,P95,P99
routing,firstScreenLoad,1361.00,1113.00,1590.00,1313.00,1590.00,1590.00
routing,routeTransition,399.73,377.50,435.33,392.67,435.33,435.33
routing,perceivedLoadTime,1837.40,1668.00,2010.00,1913.00,2010.00,2010.00
rendering,frameRate,49.40,45.05,54.92,46.62,54.92,54.92
rendering,listScrolling,45.41,44.23,47.17,44.87,47.17,47.17
rendering,componentRender,12.60,10.00,14.00,13.00,14.00,14.00
memory,initialUsage,142.13,133.22,148.44,142.48,148.44,148.44
memory,peakUsage,198.37,180.60,212.11,201.91,212.11,212.11
memory,memoryLeaks,1.57,0.20,2.49,2.18,2.49,2.49
network,apiResponseTime,497.20,439.00,589.00,494.00,589.00,589.00
network,imageLoadTime,705.20,535.00,863.00,701.00,863.00,863.00
network,cacheHitRate,0.85,0.75,0.95,0.82,0.95,0.95
interaction,touchResponse,112.40,90.00,127.00,122.00,127.00,127.00
interaction,gestureRecognition,60.20,42.00,71.00,69.00,71.00,71.00
interaction,scrollResponse,23.60,17.00,30.00,23.00,30.00,30.00
